i,x,y
0b0,0.5239521954872051,-0.2248521337164689
0b1,0.811331048469427,0.05142327466382255
0b10,0.31518500653235126,0.11381698946177071
0b11,0.35020447908422514,-0.208339147748188
0b100,0.9622910022245481,0.5063861388718973
0b101,0.0869028135980956,0.21164006352262432
0b110,0.8950857632005693,0.3972909113972046
0b111,0.762772392561448,-0.22485801077447612
0b1000,0.2074292250209242,-0.3217507400232474
0b1001,0.9141815326909638,-0.08456666008243172
0b1010,0.7540746021488334,-0.22898199585781626
0b1011,0.18731236444786548,-0.47811095705148693
0b1100,0.8584976341246351,0.5255118172976524
0b1101,0.4745217696666647,0.6737544946851685
0b1110,0.3887277991939516,0.4253921522924529
0b1111,0.4324930020637142,0.6259245432059181
0b10000,0.8975318526058685,-0.3211170388925037
0b10001,0.12052734274427068,-0.1950580435796252
0b10010,0.8421957672135542,0.6559787059144634
0b10011,0.2498869543428741,0.5466837293003127
0b10100,0.5380865484393433,0.1769876600600123
0b10101,0.6805266609169733,0.3771959481249038
0b10110,0.4647269723894928,-0.08859951432450669
0b10111,0.2481302617820077,-0.41165269059446535
0b11000,0.6373660070017514,-0.16708239967721542
0b11001,0.042232548987828133,0.48956080632463195
0b11010,0.14720708494190526,-0.18275026181963974
0b11011,0.16509317618047115,0.3317485249224555
0b11100,0.8855170064916709,0.31683973063195997
0b11101,0.34155474007644804,-0.35938616081913694
0b11110,0.6710919361132599,0.44630708005709974
0b11111,0.013812663396508884,0.03950500958488741
0b100000,0.801004161196399,-0.19005101391492854
0b100001,0.13997688162615696,0.16633806659878705
0b100010,0.8999047556244654,-0.15288179041612956
0b100011,0.6803861620889927,-0.025129593292014432
0b100100,0.5774497150647727,-0.21748120398936432
0b100101,0.39318817059556244,0.04564899443442868
0b100110,0.8499740412215917,-0.5926901396193399
0b100111,0.6627855158468875,-0.3592745909885716
0b101000,0.7663238792215399,-0.2867747951747024
0b101001,0.7850478050177222,-0.33493686951839513
0b101010,0.6598109691808327,0.47232172318993687
0b101011,0.9835640494633777,-0.3308992637514286
0b101100,0.8365715293200969,-0.31454721181152784
0b101101,0.7244681358751214,-0.08105068684789131
0b101110,0.12213144365275264,0.22043421028629243
0b101111,0.07818589204331527,-0.2599213886410849
0b110000,0.3032086284859835,0.16676069292500909
0b110001,0.02219716997158061,0.15956385278890106
0b110010,0.9541871533220501,0.4997804928424492
0b110011,0.7093542422834453,0.5559773813967096
0b110100,0.7782990117243889,-0.5664475649790197
0b110101,0.27848690311605984,-0.2223772163430043
0b110110,0.32187691888154846,0.38277030833464515
0b110111,0.9795637239865685,-0.44058167499439127
0b111000,0.8745919731084913,0.035342218489538585
0b111001,0.6578512874810029,-0.26257185098284574
0b111010,0.7260049070290274,-0.05508358791475339
0b111011,0.3075139137265589,0.018417545606333872
0b111100,0.37807085740332846,0.09035843591771493
0b111101,0.7420129748216264,-0.21748973241018782
0b111110,0.01894759793960421,0.05904940168657584
0b111111,0.263985328756556,-0.05668734148914768
0b1000000,0.6240214027542045,-0.14269191381327295
0b1000001,0.5886336251134421,-0.09849672700853687
0b1000010,0.8947532776736472,0.5186046572500228
0b1000011,0.4187182910441767,0.1015009695381859
0b1000100,0.39231391453344555,0.2607049184506558
0b1000101,0.3460505078603152,0.31757629020016365
0b1000110,0.2167752847248482,-0.04157198898233522
0b1000111,0.8423753523210338,-0.5363996578345475
0b1001000,0.10054188854167168,0.0378037632989827
0b1001001,0.38826347466363753,0.41353050709193956
0b1001010,0.9336085160691843,-0.40945535833988717
0b1001011,0.33190438562636804,-0.21815609633135294
0b1001100,0.9353207326265931,-0.17480346427056362
0b1001101,0.6648570321808595,0.44725735388085547
0b1001110,0.07443935880189967,-0.44544027266515274
0b1001111,0.1375307409420271,0.1588834250527905
0b1010000,0.05378356413956553,0.23720889101548678
0b1010001,0.9136179009273214,0.1458142486571655
0b1010010,0.22535497300289797,0.40119215741811465
0b1010011,0.9115955137237837,0.027950029493211532
0b1010100,0.24296235189133486,-0.2524111893686251
0b1010101,0.7829195895774569,0.44495545300868206
0b1010110,0.49858585272687417,-0.5041091831410646
0b1010111,0.032982655509993464,0.08872473828779011
0b1011000,0.3808791084618408,0.24663474390654302
0b1011001,0.20959073131828676,0.03324878851986907
0b1011010,0.004166921168348603,-0.2826463195235874
0b1011011,0.8124911479538541,0.325455262406234
0b1011100,0.9632776815001034,-0.45722869888375794
0b1011101,0.9366670132705613,0.06254275234205114
0b1011110,0.9248385687745172,0.1256511311143279
0b1011111,0.43565616762132253,0.0878192712418279
0b1100000,0.25746584012440743,-0.18142162188089786
0b1100001,0.4696343085403044,-0.045449075254076744
0b1100010,0.8215942758969256,-0.42247436699880064
0b1100011,0.3541721868644423,0.020683774970394437
0b1100100,0.8994406097166034,0.4156975672452918
0b1100101,0.5466831411184057,0.1724210146194667
0b1100110,0.3856945932676711,0.013314380377140283
0b1100111,0.5190468911949265,-0.27545572054227463
0b1101000,0.3951407057592222,0.008492024911688658
0b1101001,0.7245338326056797,-0.41787036987148235
0b1101010,0.33925052355279584,0.5309466841850018
0b1101011,0.41505430862135817,-0.0007077696866324369
0b1101100,0.14278742828660695,-0.49750186704494626
0b1101101,0.1432291530660078,0.34431196118548507
0b1101110,0.21858002485734418,-0.31364829223328067
0b1101111,0.7059003274838934,-0.4241276322174527
0b1110000,0.48099237571716913,-0.3600987123006249
0b1110001,0.29940040839298976,-0.4568224240312587
0b1110010,0.1697754416798446,-0.26437182825368666
0b1110011,0.5348576463938614,-0.1310611522783346
0b1110100,0.415881208375503,0.5008152142175587
0b1110101,0.6418573310620709,-0.019701788073606934
0b1110110,0.8238078040041209,-0.570211273883248
0b1110111,0.5369541076556678,0.20621140011849862
0b1111000,0.9680048591260816,-0.22725531504142182
0b1111001,0.8894127434771715,0.5394159392478256
0b1111010,0.9567578371877598,0.26857413804660485
0b1111011,0.7183366849140163,-0.10154874745543517
0b1111100,0.9489934987393591,-0.06814034360836649
0b1111101,0.15163791355845846,-0.015833207491486433
0b1111110,0.5749521723697775,-0.09676494068210875
0b1111111,0.9828428888127622,-0.36216199529118837
0b10000000,0.17769463145594722,0.04280073556994644
0b10000001,0.4432520776019574,-0.35595098778655365
0b10000010,0.6131664261201182,-0.3483820094507401
0b10000011,0.3951689864786808,0.25814618684585505
0b10000100,0.18825580191383195,0.24549501772734844
0b10000101,0.38439547221898984,0.045149507199504446
0b10000110,0.46008488823310445,0.042296109214476164
0b10000111,0.13561139426344782,0.1296702781162875
0b10001000,0.8186208674386111,-0.041636835108135144
0b10001001,0.5232127186842208,-0.20978766625390483
0b10001010,0.42664898795464057,-0.02650810481136705
0b10001011,0.5396626317704285,0.727076550647871
0b10001100,0.06887441106407965,-0.22342267508813674
0b10001101,0.8465030101513911,0.4024323895412125
0b10001110,0.8626424489575768,-0.13938595846098448
0b10001111,0.9423796684232136,0.43517941663904897
0b10010000,0.039866027885195554,0.19469177001191365
0b10010001,0.44746358393074304,-0.3378474498507715
0b10010010,0.5734512869691472,0.2092855427642631
0b10010011,0.9840256394383645,-0.11413417733330884
0b10010100,0.07078809355722271,0.5897347629683631
0b10010101,0.45113747477984834,-0.18970511399933696
0b10010110,0.4170097141300352,-0.14434449038506728
0b10010111,0.044749950103821656,0.1999361931249198
0b10011000,0.1313495931665175,-0.4076275785793069
0b10011001,0.032986202523743846,0.10829562549135559
0b10011010,0.909268949809816,-0.19370136454772335
0b10011011,0.7184602323577511,-0.3001973436479244
0b10011100,0.33744325227748806,-0.038342004839872545
0b10011101,0.11553792955143516,0.32178428384209046
0b10011110,0.957426770689887,0.14556824968995907
0b10011111,0.3335926885902665,0.1348418183179599
0b10100000,0.5651271818748967,-0.030738209590346312
0b10100001,0.6221882217501316,0.33634702881061435
0b10100010,0.10389778692621787,-0.4530878262800183
0b10100011,0.16938319361929155,-0.4377527678366073
0b10100100,0.4977487179153953,0.3232037931852702
0b10100101,0.5922959381585292,-0.3999889829815745
0b10100110,0.7173266052549366,-0.16987671234516857
0b10100111,0.1872936739965041,-0.5470851541194144
0b10101000,0.7035545914290476,0.018863489506270755
0b10101001,0.06111542844296591,-0.1355064756778971
0b10101010,0.6194832124445904,-0.6239664606138335
0b10101011,0.9346910248539698,0.231578705320948
0b10101100,0.7335911559431452,0.24900921799587336
0b10101101,0.7399776483368571,0.13751215560420477
0b10101110,0.40211945768818513,-0.23897674753539963
0b10101111,0.6130237994817949,0.22471255901279616
0b10110000,0.30483805723556245,-0.007646918643830386
0b10110001,0.4707492785760363,-0.2505158482997549
0b10110010,0.22980195103584,-0.10504440819189505
0b10110011,0.6591557527637071,0.1640931595797855
0b10110100,0.7776395447631508,-0.2309871052704714
0b10110101,0.8511155056153378,-0.4914776031992236
0b10110110,0.11222567414257856,-0.6053081026497553
0b10110111,0.7141525397301824,0.05915918663811985
0b10111000,0.07807483581732189,0.027976424004645586
0b10111001,0.8120384772599327,-0.22886366380488557
0b10111010,0.45479551010168917,0.24448417015192223
0b10111011,0.5998014782368353,-0.048240732156120555
0b10111100,0.06368672436727796,0.21841089210656195
0b10111101,0.5214825455460801,0.33332052684269725
0b10111110,0.4727368699051745,0.27355701349816924
0b10111111,0.8151563238076696,-0.26522935123071884
0b11000000,0.24166973362137534,0.14709750190322277
0b11000001,0.09264054176957304,0.09964131646041692
0b11000010,0.35937974884044666,-0.44426411992740866
0b11000011,0.3299666927731868,0.2904947152924282
0b11000100,0.0916020522087948,-0.09938376964347498
0b11000101,0.3454422632572067,0.042821115515481484
0b11000110,0.005409456583509775,-0.4149626239946279
0b11000111,0.13714578962844592,0.09374345969976544
0b11001000,0.2486115797718843,0.41413694876856827
0b11001001,0.5518470745819349,-0.043435997198693656
0b11001010,0.8708263505210625,0.3075633757933816
0b11001011,0.3323761973152227,0.4241795375494676
0b11001100,0.2215588129575471,0.2978686541820146
0b11001101,0.6246148295616204,0.03994380345305987
0b11001110,0.5645777387789543,-0.4656090106970625
0b11001111,0.6833469184646169,0.0959864488606835
0b11010000,0.6510905027438146,-0.23384561715141058
0b11010001,0.8686550749143036,-0.0737225522415291
0b11010010,0.8804716022950165,0.37796148021319825
0b11010011,0.7551012762987374,0.398101601525549
0b11010100,0.14608817813020092,0.14059840690204908
0b11010101,0.8851041953347109,-0.5558667046795683
0b11010110,0.564370468594011,-0.23477584756772304
0b11010111,0.40550340471400736,0.2586561012772634
0b11011000,0.8719388031331569,-0.1705304910544961
0b11011001,0.6925179767530798,-0.305156759116323
0b11011010,0.9801209362905402,0.4056917889197599
0b11011011,0.6526593652765236,0.2779121073980991
0b11011100,0.923948756165197,-0.12507156143596526
0b11011101,0.6244065133338006,0.20563999195977695
0b11011110,0.9786765336018171,0.312440757707564
0b11011111,0.6228086798523828,-0.09667759040686226
